word,freq_hike,freq_cut,p_hike,p_cut,log_odds
нрд,0,18,1.2973860525290854e-07,0.0002168937206317352,-7.421641048470997
движению,0,10,1.2973860525290854e-07,0.00012055003573146414,-6.8342984826102615
отсечения,0,10,1.2973860525290854e-07,0.00012055003573146414,-6.8342984826102615
профициту,0,10,1.2973860525290854e-07,0.00012055003573146414,-6.8342984826102615
аукционы,0,10,1.2973860525290854e-07,0.00012055003573146414,-6.8342984826102615
низкими,0,10,1.2973860525290854e-07,0.00012055003573146414,-6.8342984826102615
отрицательных,0,10,1.2973860525290854e-07,0.00012055003573146414,-6.8342984826102615
заморожены,0,9,1.2973860525290854e-07,0.00010850707511893026,-6.729048960903379
пенсионных,0,9,1.2973860525290854e-07,0.00010850707511893026,-6.729048960903379
дома,0,9,1.2973860525290854e-07,0.00010850707511893026,-6.729048960903379
регуляторные,0,9,1.2973860525290854e-07,0.00010850707511893026,-6.729048960903379
консолидации,0,9,1.2973860525290854e-07,0.00010850707511893026,-6.729048960903379
субъекты,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
покупателей,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
круга,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
испытывают,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
рассрочки,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
услышать,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
экономическому,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
министерства,0,8,1.2973860525290854e-07,9.646411450639638e-05,-6.611404650363401
линий,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
изменением,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
улучшить,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
задолженность,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
рассрочку,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
капитализации,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
противоречий,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
помощь,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
мог,0,7,1.2973860525290854e-07,8.44211538938625e-05,-6.478051590329631
фрукты,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
пенсионные,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
связанное,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
клиентами,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
частному,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
вызвать,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
шокам,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
нефтяном,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
послаблениями,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
сберегательной,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
нейтральности,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
обсуждении,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
самоизоляции,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
изменившимся,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
осторожно,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
процента,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
советников,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
ущерб,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
упоминали,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
оттоку,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
пассивам,0,6,1.2973860525290854e-07,7.237819328132862e-05,-6.324138637830249
